dia,venue,categoria,tipo,concepto,precio
15,inspace,renta,item,Renta de espacio,0
15,inspace,renta,item,Deposito / garantia,0
15,inspace,video,item,Pantallas / proyectores,0
15,inspace,video,item,Camara / grabacion,0
15,inspace,video,item,Operador tecnico,0
15,inspace,audio,item,Sistema de sonido,0
15,inspace,audio,item,Microfonos inalambricos,0
15,inspace,audio,item,Ingenieria de audio,0
15,inspace,iluminacion,item,Iluminacion ambiental,0
15,inspace,iluminacion,item,Cabezas moviles / efectos,0
15,inspace,iluminacion,item,Tecnico de iluminacion,0
15,inspace,mobiliario,item,Mesas,0
15,inspace,mobiliario,item,Sillas / lounge,0
15,inspace,mobiliario,item,Podios / atril,0
15,inspace,mobiliario,item,Otros muebles,0
15,inspace,catering,opcion,Opcion A - Por definir,0
15,inspace,catering,opcion,Opcion B - Por definir,0
15,camino,renta,item,Renta de espacio,0
15,camino,renta,item,Deposito / garantia,0
15,camino,video,item,Pantallas / proyectores,0
15,camino,video,item,Camara / grabacion,0
15,camino,video,item,Operador tecnico,0
15,camino,audio,item,Sistema de sonido,0
15,camino,audio,item,Microfonos inalambricos,0
15,camino,audio,item,Ingenieria de audio,0
15,camino,iluminacion,item,Iluminacion ambiental,0
15,camino,iluminacion,item,Cabezas moviles / efectos,0
15,camino,iluminacion,item,Tecnico de iluminacion,0
15,camino,mobiliario,item,Mesas,0
15,camino,mobiliario,item,Sillas / lounge,0
15,camino,mobiliario,item,Podios / atril,0
15,camino,mobiliario,item,Otros muebles,0
15,camino,catering,opcion,Opcion A - Por definir,0
15,camino,catering,opcion,Opcion B - Por definir,0
16,inspace,renta,item,Renta de espacio,0
16,inspace,renta,item,Deposito / garantia,0
16,inspace,video,item,Pantallas / proyectores,0
16,inspace,video,item,Camara / grabacion,0
16,inspace,video,item,Operador tecnico,0
16,inspace,audio,item,Sistema de sonido,0
16,inspace,audio,item,Microfonos inalambricos,0
16,inspace,audio,item,Ingenieria de audio,0
16,inspace,iluminacion,item,Iluminacion ambiental,0
16,inspace,iluminacion,item,Cabezas moviles / efectos,0
16,inspace,iluminacion,item,Tecnico de iluminacion,0
16,inspace,mobiliario,item,Mesas,0
16,inspace,mobiliario,item,Sillas / lounge,0
16,inspace,mobiliario,item,Podios / atril,0
16,inspace,mobiliario,item,Otros muebles,0
16,inspace,catering,opcion,Opcion A - Por definir,0
16,inspace,catering,opcion,Opcion B - Por definir,0
16,marquis,renta,item,Renta de espacio,0
16,marquis,renta,item,Deposito / garantia,0
16,marquis,video,item,Pantallas / proyectores,0
16,marquis,video,item,Camara / grabacion,0
16,marquis,video,item,Operador tecnico,0
16,marquis,audio,item,Sistema de sonido,0
16,marquis,audio,item,Microfonos inalambricos,0
16,marquis,audio,item,Ingenieria de audio,0
16,marquis,iluminacion,item,Iluminacion ambiental,0
16,marquis,iluminacion,item,Cabezas moviles / efectos,0
16,marquis,iluminacion,item,Tecnico de iluminacion,0
16,marquis,mobiliario,item,Mesas,0
16,marquis,mobiliario,item,Sillas / lounge,0
16,marquis,mobiliario,item,Podios / atril,0
16,marquis,mobiliario,item,Otros muebles,0
16,marquis,catering,opcion,Opcion A - Por definir,0
16,marquis,catering,opcion,Opcion B - Por definir,0
